total_week,country_code,total_books,after,treated,deaths,cases,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,close_public_transport,stay_at_home_requirements,nacionaltravel,internationaltravel,after_treated
30,AUS,419.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,AUT,98.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,BEL,220.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,BGR,18.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,BRA,175.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,CAN,245.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,CHE,40.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,CHL,112.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,CHN,8.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,COL,10.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,DEU,378.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,DNK,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,ESP,176.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,EST,11.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,FIN,387.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,FRA,111.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,GBR,2397.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,GRC,25.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,HKG,2.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,HUN,9.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,IDN,40.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,IND,279.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,IRL,27.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,ISR,64.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,ITA,665.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,JPN,18.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,LVA,14.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,MEX,145.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,NLD,308.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
